ID,상품명,바코드,입수,납품가,원코드,위치정보
51699026,일회용수저(자동포장),8809068084111 ,15,3480 ,0 ,1
51698004,포리마 18호,8809178163133 ,1000,44 ,8809436970022 ,1
52199005,일반종이컵(대진),8809047880017 ,20,689 ,8809047880017 ,1
51698003,포리마 8호,8809178163126 ,1000,34 ,8809436970015 ,1
91301012,야채봉투PE(30*40),2100001035112 ,2200,39 ,2100001035112 ,1
51698005,포리마 27호(28),8809178163140 ,1000,55 ,8809436970145 ,1
51699312,포리마(고중량) 18호,0 ,1000,83 ,0 ,1
91301016,야채봉투PE(20*30),8809118398335 ,2800,22 ,8809118398335 ,1
91399107,원주시로컬푸드 상추 33*22 (no_15),0 ,1,95 ,0 ,1
91301008,야채봉투PE(22*74),8803583509340 ,1600,50 ,8809064171105 ,1
51699076,포리마(홍)27호,2100032580650 ,1000,88 ,8806382115637 ,1
91399097,원주시로컬 상추/쌈채소 (no_5),0 ,1,86 ,0 ,1
51699037,포리마 77호,8809206995590 ,800,76 ,8809436970183 ,1
51699311,포리마(고중량) 8호,0 ,1000,55 ,0 ,1
91399093,원주시로컬푸드 고추 (no_1),0 ,1,59 ,0 ,1
51698009,포리마 99호(1001),8809178163188 ,600,108 ,8809436970213 ,1
91399100,원주시로컬푸드 쪽파 (no_8),0 ,1,56 ,0 ,1
51698011,포리마 26호,8809178163195 ,1000,52 ,8809178163195 ,1
9249946,스티커 원형한돈 (P-01),0 ,1,25 ,0 ,1
91399102,원주시로컬푸드 PE 30*40 (no_10),0 ,1,48 ,0 ,1
52199014,1호컵(70파이),8806382102903 ,30,2530 ,0 ,1
51698015,포리마 23호,8809178163232 ,1000,33 ,8809436970114 ,1
51699314,포리마(고중량) 27호,0 ,1000,86 ,0 ,1
50499014,하이썬부탄가스번들,8809206995958 ,7,4200 ,8809206995958 ,1
90999007,배추봉투 62*80,8809215058293 ,10,8300 ,8809035029947 ,1
91399071,야채봉투 pe 25*40,8809106684877 ,2600,36 ,8809106684877 ,1
91399099,원주시로컬푸드 중파 (no_7),0 ,1,100 ,0 ,1
51698006,포리마 32호소(E-43),8809178163157 ,2000,25 ,8809436970169 ,1
91399095,원주시로컬푸드 깻잎 (no_3),0 ,1,51 ,0 ,1
91399101,원주시로컬푸드 PE 20*30 (no_9),0 ,1,26 ,0 ,1
91399094,원주시로컬푸드 근채류 (no_2),0 ,1,135 ,0 ,1
91399103,원주시로컬푸드 PE 30*50 (no_11),0 ,1,55 ,0 ,1
51698012,포리마 33호,8809178163201 ,1000,72 ,8809178163201 ,1
51699035,포리마(흑)18호,8809206995569 ,1000,93 ,8809206995569 ,1
91301002,정육봉투HD(30*40),2100000997923 ,3400,23 ,8809064171181 ,1
91301015,정육봉투HD(40*50),2100001224103 ,2200,35 ,8809118393378 ,1
51699099,포리마(홍)77호,2100031008278 ,800,119 ,8809275481567 ,1
51698008,포리마 56호(서26호E-22),8809178163171 ,2000,28 ,8809178163171 ,1
29501001,일회용우의(해피존),8809004106747 ,300,891 ,8809004106747 ,1
50911804,번개탄230g[홈베큐],8809291340268 ,60,390 ,8809291340268 ,1
51698018,포리마(홍)18호,8809178163270 ,1000,82 ,8809178163270 ,1
50901013,참나무원형숯360g*1p(홈베큐),8809291340305 ,40,900 ,8809291340305 ,1
91399096,원주시로컬푸드 부추 (no_4),0 ,1,67 ,0 ,1
51699313,포리마(고중량) 26호,0 ,1000,79 ,0 ,1
51745003,고무장갑 중,8806382127050 ,100,2112 ,8801252046226 ,1
28299141,세일스티커 오늘의 세일 (CSS-01),0 ,1,25 ,0 ,1
51699075,포리마 53호,8809275481192 ,500,125 ,8809275481192 ,1
91301014,야채봉투PE(40*70),2100000890880 ,1100,99 ,2100000890880 ,1
91599002,사과F-7,8806346501476 ,2000,208 ,8806346501476 ,1
51698001,포리마 1호,8809178163102 ,1000,30 ,8809178163102 ,1
51614004,일회용수저10p[애런],8809042090435 ,100,517 ,8809042090435 ,1
91399072,야채봉투 pe 35*40,8806363212379 ,1,43 ,8806363212379 ,1
51699315,포리마(고중량) 77호,0 ,800,118 ,0 ,1
51674003,친환경위생접시180 10p (신우),8809011280874 ,100,677 ,8809011280874 ,1
92299001,뉴슈가 60g,8802060000264 ,200,500 ,8801964554064 ,1
91399105,원주시로컬푸드 PE 40*50 (no_13),0 ,1,86 ,0 ,1
91399005,야채봉투PP22*74,8809178163898 ,1,58 ,8809178163898 ,1
51674002,친환경위생접시140 10p (신우),8809011280898 ,100,527 ,8809011280898 ,1
91799102,케이팝 마스크 검정 50매,2100001148522 ,1,5500 ,8809751750019 ,1
1501007,김장봉투2p(중),8806382145238 ,100,590 ,8806382145238 ,1
91301001,야채봉투PE(25*35),2100032038038 ,3000,30 ,8809064171174 ,1
4401010,테망(대),8809001250924 ,60,1980 ,8809001250924 ,1
50499001,일회용라이타,2100000609789 ,50,275 ,8803651000076 ,1
50901006,참나무숯1KG,8809001250023 ,16,4120 ,8809001250023 ,1
91599061,청양고추c45,8809138919480 ,8000,68 ,0 ,1
51745004,고무장갑 대,8806382127029 ,100,2277 ,8801252046301 ,1
61410001,로얄라이프 베이비물티슈 캡형100매,8809137071226 ,20,861 ,8809137071226 ,1
91399003,야채봉투PP30*40,8809178163850 ,1800,46 ,8809178163850 ,1
51699022,포리마도시락(왕만두),8809178163300 ,600,57 ,8809436970701 ,1
51698021,포리마타원330호(볼록),8809178163775 ,400,162 ,8809178163775 ,1
51698017,포리마(홍)8호,8809178163287 ,1000,57 ,8809178163287 ,1
51698016,포리마 88호,8809178163249 ,600,107 ,8809178163249 ,1
91399106,원주시로컬푸드 PP 25*30 (no_14),0 ,1,36 ,0 ,1
51699112,포리마 17호,0 ,1000,44 ,0 ,1
61370001,원샷 에탄올워셔액 1.8L,8803903774984 ,12,1950 ,8803903774984 ,1
91599040,대파 C-51,8809138919299 ,2800,114 ,0 ,1
51674004,친환경위생접시200 10p (신우),8809011280904 ,100,866 ,8809011280904 ,1
51674001,친환경위생접시100 10p (신우),8809011280867 ,200,301 ,8809011280867 ,1
1501008,김장봉투2p(소),8806382145245 ,100,480 ,8806382145245 ,1
51699034,포리마(흑)8호,8809206995552 ,1000,68 ,8809206995552 ,1
51899041,면장갑400g(신),8802051600053 ,10,2200 ,8802051600053 ,1
51699107,화이트컵 4호(국신형) 95Φ,8809190249631 ,10,8200 ,0 ,1
91799103,퓨로가드 데일리 마스크 50매,8809046101410 ,1,3300 ,0 ,1
51699209,국용기 105-대(세트),2100001163778 ,10,8800 ,2100001163778 ,1
91399002,야채봉투PP20*30,8809178163843 ,2600,28 ,8809178163843 ,1
51745002,고무장갑 소,8809148483131 ,100,2057 ,8801252046202 ,1
1501006,김장봉투2p(대),8806382145221 ,100,770 ,8806382145221 ,1
91301009,야채봉투PE(25*30),8809064171112 ,3500,27 ,8809064171112 ,1
91399024,야채봉투PE40*50,8809148489454 ,1500,67 ,8806346502367 ,1
51674005,친환경위생접시230 10p (신우),8809011280911 ,100,1179 ,8809011280911 ,1
91599128,태방 201-1.2k 자두키위1.2kg,0 ,300,333 ,0 ,1
51940009,나무젓가락 30p[애런],8809042096178 ,100,957 ,8809042096178 ,1
51699093,실링용기 84호(072),0 ,500,240 ,0 ,1
51699334,투명용기 S-0914(상하세트),0 ,600,191 ,0 ,1
28299162,한우 스티커 csb-04,0 ,1,25 ,0 ,1
4401011,테망(중),8809001250917 ,60,1606 ,8809001250917 ,1
50911801,홈베큐 옛골 3kg,8809291340084 ,6,10740 ,8809291340084 ,1
90999030,쓰레기봉투 90*110,0 ,1,169 ,0 ,1
31699316,포리마(고중량) 1001호,0 ,600,170 ,0 ,1
51699213,국용기 105-중(세트),8809215057098 ,10,8500 ,8809215057098 ,1
92599025,생분해성쇼핑백(왕대)-원예,2100001085773 ,1000,188 ,2100001085773 ,1
51914007,나무젓가락 100p[애런],8809042090411 ,30,2717 ,8809042090411 ,1
90999051,생분해성 쇼핑백 특대,8801237539521 ,700,154 ,8801237539521 ,1
52101007,520cc(15입) 종이그릇,8806382146730 ,30,1078 ,8806382146730 ,1
91399116,원주푸드 대파 22*74,0 ,1,21 ,0 ,1
51499011,지퍼백 55mic*40*50(원예),0 ,1,132 ,0 ,1
1501005,김장봉투2p(특대),8806382145214 ,50,950 ,8806382145214 ,1
31199018,서통투명테이프 50*50(테이팩스),8801221505136 ,50,1360 ,8801221505136 ,1
91599037,토마토용기 DA-400,8806363211891 ,500,163 ,8806363211891 ,1
51914005,나무젓가락 10p[애런],8809042091128 ,250,407 ,8809042091128 ,1
51745001,고무장갑 미니,8809128211815 ,160,1551 ,8801252046219 ,1
52101006,테이크아웃컵 13온스(25입),8806382146716 ,40,1680 ,8806382146716 ,1
51674007,친환경위생공기150 10p (신우),8809011280935 ,100,878 ,8809011280935 ,1
31199010,이지데이 투명테이프 48*40,8801237587171 ,50,880 ,8801222100644 ,1
51698031,포리마(홍)99호(1001),8809150609901 ,600,168 ,8809150609901 ,1
51699072,포인트트레이(청)99호,8809275480973 ,600,185 ,8809275480973 ,1
92599024,생분해성쇼핑백(왕대)-봉평,2100001085773 ,1000,188 ,2100001085773 ,1
51345001,크린장갑50매,8809233014844 ,50,1807 ,8801252042105 ,1
51899055,PU장갑(알라딘) 검정,8809017540057 ,1,680 ,8809017540057 ,1
91799083,굿케어 황사방역용 마스크 KF94,2100000050017 ,30,440 ,8809733080011 ,1
91399104,원주시로컬푸드 PE 40*70 (no_12),0 ,1,122 ,0 ,1
51699081,포리마타원280,0 ,900,85 ,0 ,1
90999072,HD쇼핑백 40*48(8)*50,0 ,1,70 ,0 ,1
90999073,HD쇼핑백 40*36*43,0 ,1,44 ,0 ,1
51699068,포인트트레이(청)18호,8809275480423 ,1000,114 ,8809275480423 ,1
51499010,지퍼백 50mic*30*35(원예),0 ,1,66 ,0 ,1
51699111,포리마(우드)18호,2100032580575 ,1000,110 ,8806382113961 ,1
52199035,종이컵(10입) 프리미엄,8806382146679 ,100,320 ,8806382146679 ,1
60406002,TD-706면도기,8801038113814 ,10,1430 ,8801038113814 ,1
26401001,봉지면봉,8809004104156 ,20,380 ,8809004104156 ,1
91599218,상추봉투(무지) 300*255+50,0 ,1,50 ,0 ,1
51899040,반코팅장갑(신),8806382124660 ,10,2420 ,8806382124660 ,1
51345003,크린장갑200매,8809215057067 ,20,6140 ,8801252042419 ,1
90999006,쓰레기봉투80*105,8809035029145 ,500,147 ,8809035029145 ,1
11628077,홈매트3시간더리필 30매,8809004774069 ,90,5203 ,8809004774069 ,1
51699021,포리마우동중,8809178163041 ,18,3550 ,8809436970381 ,1
52899010,마스크 kf94,2100001092467 ,1,350 ,8800285500507 ,1
51745005,고무장갑 특대,8806382127067 ,100,2387 ,8801252046318 ,1
28299124,죽용기중 850ml (뚜껑포함)(대성),8809189815403 ,300,280 ,0 ,1
